City,State,Country,Plant_Type,Product,Latitude,Longitude
"Milan","","Italy","Parts Distribution Center","","45.46362","9.18812"
"Kawagoe","","Japan","KIMCO Factory","Wheeled Front End Loaders","35.91769","139.49106"
"Kawagoe","","Japan","Solar Regional Office","","35.91769","139.49106"
"Mooka","","Japan","KIMCO Factory","Farm Tractors, Collateral","36.4409","140.00931"
"Tokyo","","Japan","Headquarters","Komatsu International Manufacturing Co. Ltd,","35.68696","139.74946"
"Tokyo","","Japan","Solar Regional Office","","35.68696","139.74946"
"Saltillo","","Mexico","Factory","Farm Tractors,Farm Implements","25.42139","-101.00024"
"Saltillo","","Mexico","Foundry","","25.42139","-101.00024"
"Mexico City","D.F.","Mexico","Headquarters","International Harvester Mexico","19.32761","-99.01912"
"Mexico City","D.F.","Mexico","Headquarters","Maquinara Hidraulica Mexicana, S.A.","19.32761","-99.01912"
"Mexico City","D.F.","Mexico","Factory","Excavators,Small Crawlers","19.32761","-99.01912"
"Mexico City","D.F.","Mexico","Headquarters","Fabrica de Autotransport Mexicana S.A.","19.32761","-99.01912"
"Tiainepantia","","Mexico","Parts Distribution Center","","19.43268","-99.13421"
"Santiago","Tianguistenco","Mexico","Factory","(FAMSA) Trucks","19.18039","-99.46738"
"Veracruz","","Mexico","Factory","Turbinas Solar S.a. de C.V.","19.20033","-96.13893"
"Casablanca","","Morocco","Headquarters","Compagne Internationale de Machines Agricoleset de Genie Civil","33.59646","-7.61548"
"Eindhoven","","Netherlands","Headquarters","Van Doomes Bedrijfswagenfabrie (DAF)","51.4366","5.478"
"Eindhoven","","Netherlands","Factory","Trucks,Diesel Engines","51.4366","5.478"
"Geidrop","","Netherlands","Factory","DAF Trucks","51.4222","5.55722"
"Curacao","","Netherlands Antilles","","International Harvester overseas Finanz Co. N.V.","52.05332","4.53619"
"Christschurch","","New Zealand","Factory","Farm Tractors,Implements,Trucks,Wheel Loaders","-43.5308","172.638"
"Christschurch","","New Zealand","Headquarters","International Harvester New Zealand, Ltd.","-43.5308","172.638"
"Christschurch","","New Zealand","Headquarters","International Harvester Retail, Ltd.","-43.5308","172.638"
"Christschurch","","New Zealand","Headquarters","International Harvester Credit Company of New Zealand, Ltd.","-43.5308","172.638"
"Christschurch","","New Zealand","Parts Distribution Center","","-43.5308","172.638"
"Auckland","","New Zealand","Parts Distribution Center","","-36.85361","174.76499"
"Manila","","Philippines","Headquarters","International Harvester MacLeod, Inc.","14.58226","120.9748"
"Manila","","Philippines","Parts Distribution Center","","14.58226","120.9748"
"Pasig","","Philippines","Factory","Trucks, Farm Tractors, Farm Implements","14.55982","121.08064"
"","","Singapore","Regional Sales Office","","1.28944","103.84998"
"","","Singapore","Parts Distribution Center","","1.28944","103.84998"
"","","Singapore","Solar Regional Office","","1.28944","103.84998"
"","","Singapore","Headquarters","International Harvester Singapore (Pty), Ltd.","1.28944","103.84998"
"Isando","","South Africa","Headquarters","International Harvester Company of South Africa (PTY),Ltd.","-26.13794","28.20408"
"Isando","","South Africa","Headquarters","International Harvester Credit Corporation of South Africa (PTY),Ltd.","-26.13794","28.20408"
"Isando","","South Africa","Parts Distribution Center","","-26.13794","28.20408"
"Johannesburg","","South Africa","Headquarters","Soilmaster Ltd.","-26.20145","28.04549"
"Pietermaritzburg","","South Africa","Factory","Trucks,Farm Tractors","-29.60351","30.37962"
"Madrid","","Spain","Subsidiary","International Harvester Spain, S.A.","40.41669","-3.70034"
"Stockholm","","Sweden","Sales Subsidiary","Aktiebolagel International Harvester Sweden","59.33279","18.06449"
"Zurich","","Switzerland","Finance Subsidiary","International Harvester Finanz AG","47.36902","8.53803"
"Istanbul","","Turkey","Headquarters","Turk Otomotive Endustrilen","41.013","28.9748"
"Tuzia","","Turkey","Factory","Trucks, Farm Tractors","40.99186","35.79491"
"Atlanta","Georgia","United States","Parts Distribution Center","","33.74855","-84.3915"
"Antioch","Illinois","United States","Payline Testing and Proving Grounds","","42.47724","-88.09577"
"Baltimore","Maryland","United States","Parts Distribution Center","","39.29044","-76.61233"
"Broadview","Illinois","United States","Headquarters","Parts Distribution Division","41.86408","-87.85303"
"Broadview","Illinois","United States","Parts Distribution Center","","41.86408","-87.85303"
"Brookfield","Wisconsin","United States","Computer Center","","43.06079","-88.11922"
"Canton","Illinois","United States","Factory","Farm Tillage Tools","40.55827","-90.03509"
"Chicago","Illinois","United States","World Headquarters","International Harvester Company","41.88323","-87.6324"
"Chicago","Illinois","United States","Headquarters","International Harvester Credit Corporation","41.88323","-87.6324"
"Chicago","Illinois","United States","Headquarters","Harco Leasing Co.","41.88323","-87.6324"
"Chicago","Illinois","United States","Headquarters","Southern Energy Co. Oil and Gas Drilling","41.88323","-87.6324"
"Chicago","Illinois","United States","Headquarters","International Harvester Export Co.","41.88323","-87.6324"
