City,State,Country,Plant_Type,Product
Isando,,"South Africa",Headquarters,"International Harvester Company of South Africa (PTY),Ltd."
Isando,,"South Africa",Headquarters,"International Harvester Credit Corporation of South Africa (PTY),Ltd."
Isando,,"South Africa","Parts Distribution Center",""
Johannesburg,,"South Africa",Headquarters,"Soilmaster Ltd."
Pietermaritzburg,,"South Africa",Factory,"Trucks,Farm Tractors"
Madrid,,Spain,Subsidiary,"International Harvester Spain, S.A."
Stockholm,,Sweden,"Sales Subsidiary","Aktiebolagel International Harvester Sweden"
Zurich,,Switzerland,"Finance Subsidiary","International Harvester Finanz AG"
Istanbul,,Turkey,Headquarters,"Turk Otomotive Endustrilen"
Tuzia,,Turkey,Factory,"Trucks, Farm Tractors"
Atlanta,Georgia,"United States","Parts Distribution Center",""
Antioch,Illinois,"United States","Payline Testing and Proving Grounds",""
Baltimore,Maryland,"United States","Parts Distribution Center",""
Broadview,Illinois,"United States",Headquarters,"Parts Distribution Division"
Broadview,Illinois,"United States","Parts Distribution Center",""
Brookfield,Wisconsin,"United States","Computer Center",""
Canton,Illinois,"United States",Factory,"Farm Tillage Tools"
Chicago,Illinois,"United States","World Headquarters","International Harvester Company"
Chicago,Illinois,"United States",Headquarters,"International Harvester Credit Corporation"
Chicago,Illinois,"United States",Headquarters,"Harco Leasing Co."
Chicago,Illinois,"United States",Headquarters,"Southern Energy Co. Oil and Gas Drilling"
Chicago,Illinois,"United States",Headquarters,"International Harvester Export Co."
Chicago,Illinois,"United States",Headquarters,"The Monarch Agency, Inc."
Chicago,Illinois,"United States",Headquarters,"International Harvester Overseas Services Co."
Chicago,Illinois,"United States",Headquarters,"International Harvester Domestic International Sales Co. (DISC)"
Chicago,Illinois,"United States",Factory,Components
Columbus,Ohio,"United States","Parts Distribution Center",""
Dallas,Texas,"United States","Parts Distribution Center",""
Dallas,Texas,"United States","Solar Product Support Center",""
"East Moline",Illinois,"United States",Factory,"Combines,Planters,Control Centers"
Fargo,"North Dakota","United States",Headquarters,"Steiner Tractor Co."
Fargo,"North Dakota","United States",Factory,"Farm Tractors"
"Fort Wayne",Indiana,"United States","Truck Engineering and Design Center",""
"Fort Wayne",Indiana,"United States",Factory,"Trucks, Scout Vehicles"
"Fort Wayne",Indiana,"United States","Parts Distribution Center",""
"Fort Wayne",Indiana,"United States","Materials Management Center",""
"Fort Wayne",Indiana,"United States","Truck Proving Ground",""
Gardena,California,"United States","Superior Gear Subsidiary",""
Gulfport,Mississippi,"United States","Playline Products Distribution, Co.",""
Gulfport,Mississippi,"United States",Factory,"Industrial Tractors"
Hinsdale,Illinois,"United States","Agricultural Equipment Research and Engineering Center",""
Hinsdale,Illinois,"United States","Computer Center",""
Hinsdale,Illinois,"United States","Manufacturing Research Center",""
Hinsdale,Illinois,"United States","Manufacturing and Facility Planning Center",""
Hinsdale,Illinois,"United States","Industrial Design Center",""
Indianapolis, Indiana,"United States",Factory,"Gas and Diesel Engines"
Indianapolis, Indiana,"United States",Foundry,""
"Kansas City",Kansas,"United States","Parts Distribution Center",""
